# source: 当プロジェクトによる自作辞書。判断根拠 = 厚生労働省医薬・生活衛生局「プログラムの医療機器該当性に関するガイドライン」(令和3年3月31日 / 令和5年3月31日 一部改正。PMDA サイトに掲載)(docs/evidence/PRIOR_ART_REPORT_2026-08-21.md §規制・安全2 に要点整理) — 疾病の罹患可能性を数値等で提示する機能は診断側に倒れる旨、および免責文言の付記は該当性判断の根拠にならない旨 / license: MIT (本リポジトリのコードと同一。ガイドライン本文そのものを再配布するものではない)
# purpose: 医療機器プログラム(SaMD)に該当しない範囲を、注意書きではなく機械的な検査で維持する。LLM 生成文を含む全出力がこの辞書を通る。
# lint rule (packs/samdlint/lint.py が実装する判定):
#   1. kind=regex     : 1件でも一致したら block。
#   2. kind=disease + kind=claim : 同一文(。!?で分割)の中に両方が出現したら block。疾病名だけ・主張語だけでは block しない。
#   3. kind=disease + kind=dx : 同一文の中で dx (断定辞) が疾病名の直後に密着している時だけ block。裸の「です」等は主張語ではないため「うつ病は治療可能な病気です」等の説明文は通す。さらに裸の copula (だ/である/です) は節末位置の時だけ発火する — 直後に継続助詞が来る「うつ病だからといって」「うつ病だけではない」「うつ病だと思っていました」「うつ病だが働けています」「うつ病である可能性」は題述・継続であって本人への診断ではないため通す。内容を持つ「に違いない/と思われ/を意味し」は付いた位置で診断を主張するため節末判定を免れ、間に copula 1 つを挟む「うつ病だと思われます」も捕捉する。⚠ 残存する限界 (誇張しない): 節末の copula は「今日のテーマはうつ病です」のような題述文と原理的に切り分けられず安全側で over-block し得る / 辞書に無い断定辞 (断定します・のようだ・患っています) や助詞挟みの婉曲は取り逃し得る。lint.py docstring と README §5 に開示。
#   4. block 理由は原文ではなく「どの id に当たったか」を監査ログに記録する (自由記述原文は保存しない)。
# columns: id / kind=disease|claim|regex|dx / value=語またはPython正規表現 / severity=high|medium / note
id,kind,value,severity,note
F001,disease,うつ病,high,疾病名
F002,disease,大うつ病,high,疾病名
F003,disease,抑うつ症,high,疾病名
F004,disease,適応障害,high,疾病名
F005,disease,不安障害,high,疾病名
F006,disease,全般性不安症,high,疾病名
F007,disease,パニック障害,high,疾病名
F008,disease,双極性障害,high,疾病名
F009,disease,躁うつ病,high,疾病名
F010,disease,統合失調症,high,疾病名
F011,disease,心的外傷後ストレス障害,high,疾病名
F012,disease,PTSD,high,疾病名
F013,disease,不眠症,high,疾病名
F014,disease,睡眠障害,high,疾病名
F015,disease,自律神経失調症,high,疾病名
F016,disease,心身症,high,疾病名
F017,disease,神経症,high,疾病名
F018,disease,摂食障害,high,疾病名
F019,disease,パーソナリティ障害,high,疾病名
F020,disease,アルコール依存症,high,疾病名
F021,disease,発達障害,high,疾病名
F022,disease,注意欠如多動症,high,疾病名
F023,disease,精神疾患,high,疾病分類の総称
F024,disease,精神障害,high,疾病分類の総称
F025,disease,メンタル不調,medium,疾病名ではないが臨床的含意を持つため確率表現との併記を禁じる
F026,disease,燃え尽き症候群,medium,ICD-11では職業現象であり疾病ではないが確率表現との併記を禁じる
F027,disease,バーンアウト,medium,同上
F028,disease,鬱病,high,疾病名 (漢字表記ゆれ)
F029,disease,躁鬱病,high,疾病名 (漢字表記ゆれ)
F030,disease,躁鬱,high,疾病名の略・漢字表記
F031,disease,うつ状態,medium,状態表現だが確率・断定表現との併記を禁じる
F032,disease,鬱状態,medium,同上・漢字表記
F033,disease,ウツ病,high,疾病名 (カタカナ表記ゆれ)
F034,disease,depression,high,疾病名 (英語表記)
F101,claim,の可能性,high,可能性表示
F102,claim,可能性が,high,可能性表示
F103,claim,リスク,high,リスク表示
F104,claim,疑い,high,診断的表現
F105,claim,疑われ,high,診断的表現
F106,claim,発症,high,診断的表現
F107,claim,罹患,high,診断的表現
F108,claim,診断,high,診断的表現
F109,claim,確率,high,確率表示
F110,claim,おそれがあ,high,可能性表示
F111,claim,兆候,medium,診断的表現に倒れやすい語
F112,claim,予備群,high,診断的表現
F113,claim,傾向があります,medium,診断的表現に倒れやすい断定
F114,claim,と考えられます,medium,診断的表現に倒れやすい断定
F115,claim,推定され,medium,推定表示
F116,claim,かもしれ,high,可能性表示 (「かもしれません」)
F117,claim,恐れ,high,可能性表示 (漢字表記の「恐れ」)
F118,claim,傾向,medium,診断的表現に倒れやすい語
F119,claim,見込み,medium,可能性表示
F120,claim,判定さ,high,診断的表現 (「判定されます」)
F121,claim,見立て,high,診断的表現
F122,claim,といってよい,medium,診断的な断定に倒れる婉曲
F123,claim,likely,high,可能性表示 (英語)
F124,claim,may have,high,可能性表示 (英語)
F125,claim,を示し,high,断定的言明「疾病名を示しています」(主語非依存で疾病名+断定辞を捕捉。F207 の「あなたは…です」限定の穴を塞ぐ)
F126,claim,の始まり,medium,発症予測に倒れる表現「疾病名の始まり」
F127,claim,になるでしょう,high,発症予測の断定「疾病名になるでしょう」
F128,claim,でしょう,medium,予測・可能性の婉曲断定 (疾病名と同一文でのみ block)
F140,claim,断定できます,high,臨床的な断定「疾病名だと断定できます」。断定できません 等の否定形は非該当 (肯定の ます 形のみ)。H5 の節末限定で「うつ病だと断定できます」の だと が非発火になる穴を塞ぐ
F130,dx,です,medium,疾病名の直後に密着し節末に来る断定辞「これはうつ病です」。密着 + 節末の時のみ block するため「大切です」「病気です」等 (密着せず) と「うつ病ですが/ですので」等 (継続) は非該当。節末の題述文「テーマはうつ病です」は安全側で over-block し得る (残存・開示済)
F131,dx,だ,medium,疾病名の直後に密着し節末に来る断定辞「あなたはうつ病だ」「これはうつ病だ」。継続助詞が続く「うつ病だから/だけ/だと/だが」は非該当
F132,dx,である,medium,疾病名の直後に密着し節末に来る断定辞「うつ病である」。「うつ病である可能性/であるが」等の継続は非該当
F133,dx,に違いない,high,疾病名の直後に密着した断定「うつ病に違いない」
F134,dx,と思われ,medium,疾病名の直後に密着した推量断定「うつ状態と思われます」
F135,dx,を意味し,high,疾病名の直後に密着した含意断定「うつ病を意味します」
F201,regex,"(リスク|確率|可能性|スコア)[はがも]?\s*[約およそ]*\s*\d+(\.\d+)?\s*[%％]",high,疾病リスクの数値表示 (別紙2で診断側に倒れる類型)
F202,regex,"\d+(\.\d+)?\s*[%％]\s*の\s*(リスク|確率|可能性)",high,同上・語順違い
F203,regex,"(うつ|抑うつ|不安|メンタル)\s*(度|スコア|レベル|指数)\s*[:：]?\s*\d+",high,精神症状を数値指標として提示する表現
F204,regex,"診断(します|されます|できます|結果)",high,診断行為を名乗る表現
F205,regex,"(受診|通院|服薬|治療)(が|を)?\s*(必要|推奨|おすすめ)(です|します)",high,医学的指示に相当する表現
F206,regex,"(病院|クリニック|心療内科|精神科)[へに]\s*(行って|かかって|受診して)\s*ください",high,医学的指示に相当する表現
F207,regex,"あなたは\s*[^。!?]{0,12}(病|症|障害)です",high,疾病の断定
F208,regex,"(受診|通院|来院|受療)[^。!?]{0,10}(おすすめ|お勧め|推奨|勧め)",high,受診勧奨の表現ゆれ (「受診されることをおすすめします」)
