# purpose: R5-1 層2 (LLM 品質) のゴールドセット。セルフケア文面プロンプト (evals/prompts/selfcare_ja.txt) へ差し込む
#          変数だけを持つ。合否は promptfooconfig.yaml 側の llm-rubric 4 軸 (共感 / 具体性 / 非診断 / 窓口案内) と
#          決定論の samdlint 検査で決まるため、この CSV に期待文面は書かない (正解文を1つに決められる性質のものではない)。
# 注意: 層2 は品質軸だけを測る。安全性の合否は層1 (goldsets/adversarial.csv + 決定論ゲート) が持つ。R5-3。
# 由来: sum_a / sum_b / sum_c は goldsets/scoring_boundary.csv の実在ケースの領域合計をそのまま使っている
#       (発明した数値ではない)。case_id 末尾の <- が参照元。
# columns: case_id / sum_a / sum_b / sum_c / verdict / situation / note
case_id,sum_a,sum_b,sum_c,verdict,situation,note
SC-01,30,76,20,高ストレス者には選定されていません,繁忙期が続いて帰宅が遅い,S57-A-01 の合計点。判定直下で非該当 = 安心させすぎない書き方が要る
SC-02,30,77,20,高ストレス者に選定されました,繁忙期が続いて帰宅が遅い,S57-A-02 の合計点。㋐で該当
SC-03,50,63,26,高ストレス者に選定されました,上司と方針が合わず相談しにくい,S57-B-04 の合計点。㋑で該当
SC-04,50,62,26,高ストレス者には選定されていません,上司と方針が合わず相談しにくい,S57-B-03 の合計点。1点差で非該当
SC-05,17,29,9,高ストレス者には選定されていません,特に困っていることはない,S57-X-01 の合計点。最小値 = 何も書くことがない時に無理に不安を作らないか
SC-06,68,116,36,高ストレス者に選定されました,眠れない日が続いている,S57-X-02 の合計点。最大値
SC-07,50,38,9,高ストレス者には選定されていません,仕事量は多いが職場の支援は薄い,S57-X-03 の合計点。A が高くB が低い = 負担と反応がずれている型
SC-08,35,107,36,高ストレス者に選定されました,異動してから気持ちが落ち着かない,S57-X-04 の合計点。B が突出
SC-09,10,31,10,高ストレス者に選定されました,交替勤務で生活リズムが崩れている,S23-A-02 の合計点 (23項目版)
SC-10,20,23,19,高ストレス者に選定されました,ひとりで抱える業務が増えた,S23-B-04 の合計点 (23項目版)
