# source: 期待値は 厚生労働省「数値基準に基づいて『高ストレス者』を選定する方法」(docs/evidence/select_num.pdf p.1) および実施マニュアル(docs/evidence/manual_main.pdf p.46-47) の判定基準文を転記して導出したもので、実装の出力を採録したものではない。
# purpose: R5-1 層1 (決定論) のゴールドセット。evals/run_deterministic.py と evals/assert_scoring.py が同じ行を読む。
# columns:
#   case_id / variant=57|23 / category / description
#   answers      = 生回答を項目番号順に半角スペース区切り。"-" は無回答(欠損)。逆転換算前の値。
#   expected_error = 非空なら score() が その例外型 を送出することが期待値 (この行では他の期待列は空)
#   expected_valid / expected_missing (欠損項目番号・空なら無し)
#   expected_A / expected_B / expected_C = 逆転換算後の領域合計 (欠損行では部分合計)
#   expected_high_stress / expected_rule_hit = none|B_only(㋐)|AC_and_B(㋑)
#   naive_high_stress = 逆転換算を忘れた実装が出す判定。expected_high_stress と食い違う行が
#                       「逆転項目が効いている」ことの証拠になる (run_deterministic.py が本数を数える)。
#   __expected   = promptfoo 用アサーション参照
case_id,variant,category,description,answers,expected_error,expected_valid,expected_missing,expected_A,expected_B,expected_C,expected_high_stress,expected_rule_hit,naive_high_stress,__expected
S57-A-01,57,criterion_a_boundary,㋐直下: B=76・A+C=50 → 非該当,1 1 1 1 3 4 4 1 1 1 4 4 4 1 4 1 1 1 1 1 4 4 4 4 4 4 4 4 4 4 4 4 3 1 1 1 1 1 1 1 1 1 1 1 1 1 4 4 4 3 1 1 1 1 1 2 2,,true,,30,76,20,false,none,false,python:file://assert_scoring.py
S57-A-02,57,criterion_a_boundary,㋐ちょうど: B=77・A+C=50 → 高ストレス(㋐),1 1 1 1 3 4 4 1 1 1 4 4 4 1 4 1 1 1 1 1 4 4 4 4 4 4 4 4 4 4 4 4 4 1 1 1 1 1 1 1 1 1 1 1 1 1 4 4 4 3 1 1 1 1 1 2 2,,true,,30,77,20,true,B_only,false,python:file://assert_scoring.py
S57-A-03,57,criterion_a_boundary,㋐直上: B=78・A+C=50 → 高ストレス(㋐),1 1 1 1 3 4 4 1 1 1 4 4 4 1 4 1 1 1 1 1 4 4 4 4 4 4 4 4 4 4 4 4 4 2 1 1 1 1 1 1 1 1 1 1 1 1 4 4 4 3 1 1 1 1 1 2 2,,true,,30,78,20,true,B_only,false,python:file://assert_scoring.py
S57-A-04,57,criterion_a_boundary,㋐のみで成立: A+C=26(最小)・B=77 → 高ストレス(㋐),4 4 4 4 4 4 4 1 1 1 4 4 4 1 4 1 1 1 1 1 4 4 4 4 4 4 4 4 4 4 4 4 4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2,,true,,17,77,9,true,B_only,false,python:file://assert_scoring.py
S57-B-01,57,criterion_b_boundary,㋑ 2x2: A+C=75・B=62 → 非該当,1 1 1 1 1 1 1 4 4 4 1 4 4 1 4 1 1 1 1 1 4 4 4 4 4 4 4 4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 4 4 4 4 4 2 1 1 1 2 2,,true,,50,62,25,false,none,false,python:file://assert_scoring.py
S57-B-02,57,criterion_b_boundary,㋑ 2x2: A+C=75・B=63 → 非該当(A+Cが1点不足),1 1 1 1 1 1 1 4 4 4 1 4 4 1 4 1 1 1 1 1 4 4 4 4 4 4 4 4 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 4 4 4 4 4 2 1 1 1 2 2,,true,,50,63,25,false,none,false,python:file://assert_scoring.py
S57-B-03,57,criterion_b_boundary,㋑ 2x2: A+C=76・B=62 → 非該当(Bが1点不足),1 1 1 1 1 1 1 4 4 4 1 4 4 1 4 1 1 1 1 1 4 4 4 4 4 4 4 4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 4 4 4 4 4 3 1 1 1 2 2,,true,,50,62,26,false,none,false,python:file://assert_scoring.py
S57-B-04,57,criterion_b_boundary,㋑ 2x2: A+C=76・B=63 → 高ストレス(㋑),1 1 1 1 1 1 1 4 4 4 1 4 4 1 4 1 1 1 1 1 4 4 4 4 4 4 4 4 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 4 4 4 4 4 3 1 1 1 2 2,,true,,50,63,26,true,AC_and_B,false,python:file://assert_scoring.py
S57-B-05,57,criterion_b_boundary,㋑直上: A+C=77・B=64 → 高ストレス(㋑),1 1 1 1 1 1 1 4 4 4 1 3 4 1 4 1 1 1 1 1 4 4 4 4 4 4 4 4 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 4 4 4 4 4 3 1 1 1 2 2,,true,,51,64,26,true,AC_and_B,false,python:file://assert_scoring.py
S57-B-06,57,criterion_b_boundary,㋑のANDを検査: A+C=104(最大)・B=62 → 非該当 (Bの下限は免除されない),1 1 1 1 1 1 1 4 4 4 1 1 1 4 1 4 4 1 1 1 4 4 4 4 4 4 4 4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 4 4 4 4 4 4 4 4 4 2 2,,true,,68,62,36,false,none,false,python:file://assert_scoring.py
S57-B-07,57,criterion_b_boundary,㋑のANDを検査: A+C=26(最小)・B=76 → 非該当 (㋐にも㋑にも届かない),4 4 4 4 4 4 4 1 1 1 4 4 4 1 4 1 1 1 1 1 4 4 4 4 4 4 4 4 4 4 4 4 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2,,true,,17,76,9,false,none,false,python:file://assert_scoring.py
S57-O-01,57,rule_order,㋐と㋑が同時成立: B=77・A+C=76 → rule_hit は原典の記載順で㋐(B_only),1 1 1 1 1 1 1 4 4 4 1 4 4 1 4 1 1 1 1 1 4 4 4 4 4 4 4 4 4 4 4 4 4 1 1 1 1 1 1 1 1 1 1 1 1 1 4 4 4 4 4 3 1 1 1 2 2,,true,,50,77,26,true,B_only,false,python:file://assert_scoring.py
